1.424979955563912659e+00,1.980694444444444535e+00
4.274939866691737755e+00,1.983759133185620138e+00
7.124899777819563518e+00,1.991980182387880216e+00
9.974859688947388392e+00,2.002747467016664729e+00
1.282481960007521415e+01,2.012642450280332618e+00
1.567477951120303992e+01,2.018523544907279810e+00
1.852473942233086390e+01,2.018523544907280254e+00
2.137469933345868967e+01,2.012642450280332618e+00
2.422465924458651543e+01,2.002747467016665173e+00
2.707461915571434119e+01,1.991980182387880216e+00
2.992457906684216695e+01,1.983759133185620138e+00
3.277453897796998916e+01,1.980694444444444535e+00
